2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,goal,target,source,countryCode,seriesCode,seriesName,instrumental,reverse,redundante,sdg
,,37.79216,,39.67255,,40.99369,,37.16787,,33.96937,,,1,1.1,INEGI,AGU,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,23.37946,,34.42734,,30.36304,,31.50176,,23.26218,,,1,1.1,INEGI,BCN,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,18.32922,,31.67125,,30.593290000000003,,32.266729999999995,,23.57504,,,1,1.1,INEGI,BCS,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,46.19953,,53.6304,,46.75085,,43.2468,,46.29728,,,1,1.1,INEGI,CAM,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,24.34042,,34.54699,,37.2716,,31.71497,,34.31879,,,1,1.1,INEGI,CHH,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,41.54816,,37.01851,,32.12814,,33.46482,,32.32966,,,1,1.1,INEGI,CHP,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,31.1998,,34.12754,,33.48816,,36.34978,,32.4654,,,1,1.1,INEGI,CMX,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,73.68602,,78.98125999999998,,75.25591,,76.06944,,77.81225,,,1,1.1,INEGI,COA,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,35.02462,,44.59175,,39.67809000000001,,39.06777,,37.25348,,,1,1.1,INEGI,COL,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,51.66712,,57.79838,,56.45264,,50.98102,,41.36771,,,1,1.1,INEGI,DUR,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,65.85679,,66.69202,,68.53028,,63.51069,,64.20983000000001,,,1,1.1,INEGI,GRO,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,40.16002,,48.99059000000001,,44.18848,,48.15038,,43.56764,,,1,1.1,INEGI,GUA,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,52.09858,,52.66407,,48.99441,,56.52624,,50.24539,,,1,1.1,INEGI,HID,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,33.12116,,33.97027,,37.77736,,37.82299,,33.471940000000004,,,1,1.1,INEGI,JAL,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,44.30511,,44.14419,,47.33269,,57.19631,,56.8169,,,1,1.1,INEGI,MEX,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,51.43125,,52.72756,,54.59005,,59.16953,,56.5171,,,1,1.1,INEGI,MIC,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,48.8935,,42.6066,,47.81707,,54.74487,,55.86708,,,1,1.1,INEGI,MOR,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,41.67342,,38.83415,,46.91661,,41.75653,,38.71442,,,1,1.1,INEGI,NAY,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,22.62128,,26.3754,,24.47731,,22.08031,,15.17213,,,1,1.1,INEGI,NLE,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,57.04074,,61.42074,,57.40959,,64.97067,,69.68086,,,1,1.1,INEGI,OAX,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,63.2261,,64.23826,,63.09392,,65.86594000000001,,59.75283,,,1,1.1,INEGI,PUE,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,31.1713,,38.46515,,35.155559999999994,,34.34106,,34.35566,,,1,1.1,INEGI,QUE,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,29.756190000000004,,32.750820000000004,,38.59719000000001,,34.35268,,25.969360000000002,,,1,1.1,INEGI,ROO,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,28.69683,,40.41313,,37.34174,,42.18541,,34.59908,,,1,1.1,INEGI,SIN,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,51.18938,,52.18106,,49.24166,,49.19066,,47.63238,,,1,1.1,INEGI,SLP,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,27.19149,,37.56839,,27.34782,,30.20148,,32.19847,,,1,1.1,INEGI,SON,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,53.17024,,56.33334,,47.02632,,48.52833,,51.94123,,,1,1.1,INEGI,TAB,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,33.82468,,41.82898,,41.67901,,45.26779000000001,,39.0368,,,1,1.1,INEGI,TAM,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,62.15074,,62.4286,,56.66643000000001,,60.57227,,58.36345,,,1,1.1,INEGI,TLA,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,50.1849,,55.79375,,50.45389,,58.46096,,64.49061999999999,,,1,1.1,INEGI,VER,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,45.28446,,51.59154,,48.99804,,49.10431,,40.29515,,,1,1.1,INEGI,YUC,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,51.03572,,65.10994000000001,,54.56566,,53.96536999999999,,55.3226,,,1,1.1,INEGI,ZAC,2,Porcentaje de población joven de 19 a 29 años de edad con ingreso inferior a la línea de bienestar,0,1,,1
,,7.694382605312642,,8.085263016440457,,10.129381181462335,,8.91831148226912,,10.622476010168484,,10.281121446878304,1,1.1,CONEVAL,AGU,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,5.403865423617401,,6.349287299663623,,8.612165884670492,,6.582257752154622,,6.731683815491419,,6.75482906793534,1,1.1,CONEVAL,BCN,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,4.6808468857083945,,4.5411231480152345,,7.915143190166915,,5.599498105186559,,6.450288161748496,,4.666091047131331,1,1.1,CONEVAL,BCS,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,4.636180820516856,,4.31962493186571,,5.571490255908345,,3.997453581375021,,4.795979343455573,,4.594871881034865,1,1.1,CONEVAL,CAM,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,3.4989450059664464,,4.885350577578764,,6.265307425334588,,6.358654652431313,,6.952697530880893,,5.40783440324905,1,1.1,CONEVAL,CHH,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,12.53844045690495,,12.860435192453131,,12.745135375835519,,11.080921083107844,,13.031458065726689,,11.25757398781134,1,1.1,CONEVAL,CHP,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,5.035302012400614,,5.417026212433328,,6.592897309656648,,8.006239387870608,,6.793091467827875,,7.763074209272755,1,1.1,CONEVAL,CMX,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,1.4759431431866878,,2.3693721271449233,,1.7304023262913495,,2.4968999906687075,,2.7270916636984786,,2.5048587476310287,1,1.1,CONEVAL,COA,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,7.31966386242459,,12.954410481930815,,10.717464330935126,,11.970367769664055,,11.12202995359078,,10.24113638264069,1,1.1,CONEVAL,COL,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,8.215784142411659,,8.757023033520774,,11.128541813865747,,10.484590200626007,,9.39338469766578,,10.264947219262496,1,1.1,CONEVAL,DUR,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,1.9930441443373983,,1.978052827150716,,2.2500225387409576,,2.6471470519889304,,3.216557735902187,,3.0416926607425885,1,1.1,CONEVAL,GRO,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,4.596107656721066,,5.665158228149037,,4.870145588551917,,8.579654463934686,,8.201814061657544,,7.469981398056118,1,1.1,CONEVAL,GUA,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,3.428633462355595,,4.172570059766766,,3.0070686579629955,,5.104768066193826,,4.655327687462326,,3.7992470997086247,1,1.1,CONEVAL,HID,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,5.3207498029047615,,6.239801505235891,,8.08011359546119,,7.881903934648499,,7.783772863676535,,7.658368774893766,1,1.1,CONEVAL,JAL,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,4.344439562011552,,5.615576675628297,,7.813148546630777,,9.320734026082514,,9.56319400448649,,8.724742637013799,1,1.1,CONEVAL,MEX,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,2.5223530212928864,,4.345528869982386,,3.5016674077861527,,4.077751663208826,,4.7297945764596605,,4.8698713899368675,1,1.1,CONEVAL,MIC,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,3.136531050177095,,5.837506903736893,,4.601118231177269,,6.141942773460923,,7.938770673694946,,5.7379823712861695,1,1.1,CONEVAL,MOR,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,4.398009108469749,,4.316844786726671,,5.562084766557286,,6.511976295982049,,5.9757652094024145,,4.896884760903877,1,1.1,CONEVAL,NAY,3,Porcentaje de población vulnerable por ingresos,1,1,,1
,,7.230080320608372,,8.207253986759131,,8.421484635510183,,9.124988275945702,,5.327858564833139,,6.578917448947165,1,1.1,CONEVAL,NLE,3,Porcentaje de población vulnerable por ingresos,1,1,,1
